Assignment 3: pandas

Average values for all species:
            petal_length  petal_width  sepal_length  sepal_width
species                                                         
setosa          1.486527     0.250725      4.999635     3.475225
versicolor      4.290690     1.345846      5.942616     2.761610
virginica       5.475172     1.988239      6.354953     3.001511

Median values for all species:
            petal_length  petal_width  sepal_length  sepal_width
species                                                         
setosa          1.464998     0.251564      4.977019     3.460304
versicolor      4.321910     1.372359      5.917317     2.747044
virginica       5.512922     1.954197      6.277034     3.019348

Standard deviation values for all species:
            petal_length  petal_width  sepal_length  sepal_width
species                                                         
setosa          0.207064     0.116201      0.323130     0.365322
versicolor      0.465222     0.185877      0.475391     0.385754
virginica       0.458861     0.242253      0.573233     0.325909

Correlation matrix for all variables:
              petal_length  petal_width  sepal_length  sepal_width
petal_length      1.000000     0.943467      0.752330    -0.515303
petal_width       0.943467     1.000000      0.738243    -0.459692
sepal_length      0.752330     0.738243      1.000000    -0.451782
sepal_width      -0.515303    -0.459692     -0.451782     1.000000

All values for versicolor:
           sample_id     species  petal_length  petal_width  sepal_length  sepal_width
0    g4JZlAtiN4mBGyE  versicolor      4.589243     1.306969      5.844006     3.341825
1    BwWealRi00L4RH1  versicolor      4.836183     1.384244      5.919572     2.624173
4    8nqRlCsXKJjHafD  versicolor      3.950310     1.224275      6.885232     3.631972
9    yi19vtGTuYKj4eZ  versicolor      4.268392     1.274064      6.822197     3.141830
16   vqSnrKjDlQDgjJ5  versicolor      3.320587     1.386333      5.083040     2.979572
17   kyKhRLVcS0rCv!P  versicolor      4.524713     1.320985      6.096254     2.683841
18   VusNKl:RCT@OGn7  versicolor      4.472724     0.900011      5.926105     2.562540
23   RCBCwkJWUHyVwqV  versicolor      3.702690     1.422474      5.968879     2.816125
26   PQtAlWI8lvfKwjg  versicolor      4.537703     1.415022      6.191170     2.835849
27   CmPNAjD$OJz8xtz  versicolor      4.345019     1.632500      5.723189     2.632849
28   dv?P3qdIEdTsXG0  versicolor      4.617983     1.088082      5.993301     2.589790
30   NQQOaLqpblOQuud  versicolor      4.524106     1.315773      5.883319     2.654913
31   Kare66K2FihEV93  versicolor      5.391703     1.303533      5.779108     2.705619
36   O3^muUuTPXgCgBZ  versicolor      3.643753     1.489883      5.474880     2.605839
38   CK8cRCbPRzdhrQZ  versicolor      4.044254     1.404391      5.776735     2.432078
39   YlmIpkStw5mWwxr  versicolor      3.778708     1.192518      6.404155     2.175455
41   uvhivHYmHKkbZbe  versicolor      4.710993     1.434968      6.591512     2.865490
43   azdzItv7n4Ob4VW  versicolor      3.943089     1.560528      6.269948     2.290974
45   ybv6JZso4wx5G9S  versicolor      4.452328     1.363420      6.175504     3.117513
47   GuCsuS1*XYdCoFw  versicolor      4.214592     1.204017      5.181454     2.900854
52   xOTTfUDOENgKe&8  versicolor      3.866218     1.357120      5.543838     3.264735
56   MMThFbLqLZNZHmS  versicolor      4.841038     1.154231      6.010525     3.084798
57   Br4bELwbESkKF8n  versicolor      4.667459     1.426925      6.552825     3.607769
58   Lg1WLhnMAVEZD:P  versicolor      4.495552     1.258432      5.334831     2.631674
59   qSgUNnCRqwfjUwQ  versicolor      4.863422     1.056108      6.170961     3.138613
63   NWclLZbZXUFUwwy  versicolor      3.817670     1.608536      5.746576     2.922592
66   lLXMVuFWn1U4ULx  versicolor      3.761334     1.413824      5.327977     2.715342
74   p0OCgbys%FW6v4R  versicolor      4.199052     1.349509      5.653700     2.240386
84   ?2kdxdAXqj2PgYJ  versicolor      4.695759     1.087892      6.547811     2.590456
89   ec?KQHUrCStKvKi  versicolor      4.769759     0.935646      4.844688     2.451214
90   MN%Y!9LRNDRWvX@  versicolor      3.957958     1.542858      5.914479     2.499789
94   zrAXdMPKBuvDzNV  versicolor      4.472860     1.381298      5.518396     2.947774
98   JKRMlRaqxUpdB3L  versicolor      4.315051     1.605591      5.915061     2.203196
102  kGMXXYQocROwxy0  versicolor      3.242209     1.442650      5.753117     3.106281
104  VPLkQVV6xZwZjM8  versicolor      4.035701     1.348341      5.681804     2.398613
105  BG6hTyBpU4beVAa  versicolor      4.328770     1.496556      5.793356     3.347275
107  YkBvRsNxkaMuaqN  versicolor      4.996474     1.274395      5.520372     3.006424
114  2SZr6cWNlwqfcL!  versicolor      4.966406     0.982861      6.029394     1.704748
116  HdByHlLq0MzuYv8  versicolor      3.884439     1.408051      5.454765     2.287880
119  kMuRQIlXRT6yvLe  versicolor      4.344251     1.314602      6.386229     2.898715
120  ujmKvEdVckY%dah  versicolor      4.152354     1.398115      6.351701     3.281389
121  :PhwtKDtnxtURYZ  versicolor      4.173586     1.663388      5.764890     2.896254
122  wsyRYqrFqXVEInH  versicolor      4.612066     1.521692      6.188601     2.812058
124  tUqUuHPu5wwE9CX  versicolor      4.087612     1.114008      5.330023     3.047786
137  6XmxRsStMiUUT5y  versicolor      3.559383     1.212959      6.763249     2.778746
139  vgOa.bKTWVSYrPR  versicolor      4.565926     1.577499      5.973410     2.514029
142  hFKryyGPPzdH?Po  versicolor      4.114480     1.576381      6.830949     2.625132
143  WbDHNnODC7DmznT  versicolor      4.076537     1.547323      5.957918     2.907216
147  KVOgLV6Q#yIYrjY  versicolor      5.106639     1.533397      5.531415     2.214055
148  wRkfYyPTwUzYYb0  versicolor      3.695471     1.078146      6.748385     2.366439

All values for virginica:
           sample_id    species  petal_length  petal_width  sepal_length  sepal_width
2    ZdyiDoTAArjRj3X  virginica      5.510280     1.786967      6.081146     3.040232
6    fWIrmBqHQtz8xsF  virginica      5.604368     2.157243      6.456809     2.805747
10   YOUAeEtFDmkZ^Fj  virginica      5.014562     1.963292      6.246692     2.532292
11   mJXjeWxnNsSFDrT  virginica      5.341064     2.041667      5.103175     3.303154
14   7eMPKj06G5OvZMj  virginica      5.446387     1.912245      6.996548     3.022570
15   lsASAgtVjFRU1Qx  virginica      5.016659     1.684219      6.930099     2.986417
21   BtUCKOq7JvnPlOs  virginica      5.042649     1.954916      5.850027     3.639593
24   P6vSkw5eLzuitjC  virginica      5.307304     1.782728      6.753320     2.656188
25   ZrvCi^tjWUU4bEY  virginica      6.791105     2.371837      6.382488     3.248151
29   bRJfblUTBih4vXZ  virginica      5.699915     2.011020      7.042214     2.808181
34   uCCSdxHpT@4KB&D  virginica      6.352339     2.346899      5.413269     3.106450
37   MSpolLlZEykfAPj  virginica      4.581418     1.583535      6.228062     3.180603
40   VBsso&DLWhoavWN  virginica      4.969316     2.142619      5.908940     3.300371
42   AYyUNGIOflHwKVz  virginica      6.071931     2.303134      6.181593     3.203286
44   tBkU17D%pLZu2iq  virginica      5.215450     2.372807      6.031985     3.451475
49   RCpoVUsSf1lcnsx  virginica      5.053986     1.959596      5.609393     3.173603
51   F7QQBkULCQWsPPq  virginica      4.990618     1.925223      6.056341     3.414888
53   kbk8teAExFXRVmo  virginica      5.074888     1.941873      6.684440     2.648808
55   NCNzLLDGLZ0bFwT  virginica      5.605374     1.921244      5.939928     3.357195
64   wJbp*SLsgqwqU3h  virginica      5.569802     2.270871      7.965390     2.406774
65   NXVhqf3jYW5MMIj  virginica      5.662709     1.899545      5.549109     3.338922
69   VrdbFFaZAUIQHVl  virginica      5.872442     1.676956      6.333824     2.587576
70   hUPXl9dHXtPj0gy  virginica      6.205756     1.841954      6.141439     3.391971
71   SylZS8kd9X8DUbH  virginica      4.967788     2.159077      6.215110     3.344309
78   BKJoXJgMBp8yDIL  virginica      4.140145     1.731601      6.377286     2.847190
79   DbYlLG7eLvCcUQN  virginica      5.601433     2.221353      5.843000     3.016125
81   BICKlsaIqOVWeVT  virginica      5.602542     1.759924      6.941976     3.421896
83   wRtDRvAQhOH4DML  virginica      5.515564     1.866607      5.902312     3.398533
